alpha_cc,alpha_Ia,g_cc,g_ratio,reduced_chi2
0.3,0.3,0.3,2.6,0.0006432633427603169
0.4,0.2,0.3,2.6,0.0007210527393331272
0.3,0.2,0.3,2.4,0.0007479090077631131
0.2,0.4,0.3,2.6,0.0008179062118145211
0.4,0.1,0.3,2.4,0.0008260108864488169
0.5,0.1,0.3,2.4,0.0009208228890246809
0.3,0.3,0.3,2.4,0.0009287040869419523
0.2,0.5,0.3,2.6,0.0009351371297338403
0.2,0.4,0.3,2.4,0.0009360362284237798
0.3,0.4,0.3,2.8,0.0009571929525876373
0.2,0.5,0.3,2.8,0.0009578683858145286
0.4,0.2,0.3,2.4,0.0009725519808701367
0.5,0.1,0.4,1.6,0.0009754736937387444
0.5,0.1,0.3,2.6,0.0009766083652471224
0.2,0.3,0.3,2.4,0.0010383077249519358
0.4,0.3,0.3,2.8,0.001103109552555804
0.4,0.1,0.3,2.2,0.001123810920607355
0.6,0.1,0.3,2.6,0.0011306324443860491
0.3,0.3,0.3,2.8,0.0011388061469533297
0.3,0.4,0.3,2.6,0.001141901832947544
0.4,0.2,0.4,1.6,0.0011419379007824562
0.3,0.2,0.3,2.2,0.0011655392392829547
0.6,0.1,0.4,1.6,0.0011742697319528923
0.5,0.2,0.4,1.8,0.0011946126825531091
0.4,0.3,0.4,1.6,0.0011956134930697906
0.5,0.2,0.4,1.6,0.0012332387285775386
0.5,0.2,0.3,2.8,0.0012349784279063517
0.3,0.2,0.3,2.6,0.0012575168353527236
0.5,0.2,0.3,2.6,0.0012699297162210238
0.3,0.1,0.3,2.2,0.0012850737169305068
0.4,0.3,0.4,1.8,0.001298599858078077
0.2,0.6,0.3,2.8,0.0012993879991325256
0.6,0.1,0.4,1.8,0.0013065107727651363
0.4,0.3,0.3,2.6,0.0013299558922570092
0.2,0.3,0.3,2.2,0.001334052687827354
0.4,0.4,0.4,1.8,0.001336651182854427
0.4,0.2,0.3,2.8,0.0013596635896506487
0.2,0.4,0.3,2.8,0.0013741144715248416
0.7,0.1,0.4,1.8,0.0013893245748129808
0.3,0.4,0.4,1.6,0.0014289378736615148
0.6,0.1,0.5,1.2,0.0014665575894203134
0.1,0.6,0.3,2.6,0.0014754637111176194
0.5,0.3,0.4,1.8,0.0014754696224341733
0.3,0.5,0.4,1.8,0.0014959723777361815
0.6,0.2,0.4,1.8,0.0015039587915414937
0.4,0.1,0.4,1.4,0.0015272319330527516
0.2,0.3,0.3,2.6,0.001543938813008234
0.2,0.5,0.3,2.4,0.001566572416586563
0.7,0.1,0.5,1.2,0.001579478779716874
0.1,0.7,0.3,2.8,0.0015812478402184047
0.4,0.1,0.3,2.6,0.001581480330943116
0.6,0.1,0.3,2.8,0.0015817754230833083
0.1,0.7,0.3,2.6,0.0015890695573833476
0.2,0.2,0.3,2.2,0.001638661343740483
0.6,0.2,0.5,1.2,0.001643672278787503
0.3,0.5,0.4,1.6,0.0016646934430567118
0.5,0.3,0.5,1.2,0.001675625433856807
0.5,0.1,0.5,1.0,0.001678780521671199
0.5,0.1,0.4,1.4,0.0016825938446983215
