[Mg/H],[V/Mg],[Cr/Mg],[Mn/Mg],[Fe/Mg],[Co/Mg],[Ni/Mg]
-0.744,-0.403,-0.277,-0.615,-0.298,-0.389,-0.260
-0.639,-0.374,-0.292,-0.566,-0.292,-0.282,-0.215
-0.541,-0.363,-0.303,-0.536,-0.295,-0.244,-0.203
-0.437,-0.355,-0.261,-0.523,-0.285,-0.194,-0.191
-0.349,-0.336,-0.268,-0.499,-0.281,-0.177,-0.182
-0.254,-0.307,-0.257,-0.468,-0.266,-0.136,-0.174
-0.146,-0.273,-0.249,-0.443,-0.263,-0.096,-0.175
-0.050,-0.225,-0.240,-0.402,-0.253,-0.072,-0.171
0.04,-0.193,-0.231,-0.351,-0.236,-0.058,-0.168
0.15,-0.155,-0.215,-0.273,-0.203,-0.052,-0.161
0.24,-0.116,-0.209,-0.206,-0.171,-0.045,-0.146
0.35,-0.044,-0.205,-0.143,-0.151,-0.020,-0.132
0.45,,-0.233,-0.074,-0.146,0.07,-0.129
