[Mg/H],[V/Mg],[Cr/Mg],[Mn/Mg],[Fe/Mg],[Co/Mg],[Ni/Mg]
-0.744,-0.163,-0.123,-0.224,-0.054,-0.221,-0.035
-0.639,-0.194,-0.072,-0.209,-0.067,-0.167,-0.014
-0.541,-0.222,-0.044,-0.178,-0.058,-0.090,0.00
-0.437,-0.204,-0.058,-0.176,-0.062,-0.071,-0.011
-0.349,-0.175,-0.059,-0.164,-0.061,-0.047,-0.018
-0.254,-0.149,-0.049,-0.140,-0.053,-0.037,-0.024
-0.146,-0.125,-0.036,-0.102,-0.037,-0.036,-0.027
-0.050,-0.090,-0.033,-0.063,-0.023,-0.030,-0.026
0.04,-0.051,-0.043,-0.025,-0.022,-0.004,-0.019
0.15,0.01,-0.065,0.01,-0.028,0.03,-0.009
0.24,0.05,-0.096,0.05,-0.035,0.08,-0.004
0.35,-0.034,-0.129,0.08,-0.046,0.13,0.00
0.45,,-0.165,0.06,-0.066,0.11,-0.018
